Company;Definition
GE;Digital Twin is most commonly defined as a software representation of a physical asset, system or process designed to detect, prevent, predict, and optimize through real time analytics to deliver business value.  At GE Digital, we are focused on how digital twin software can help our customers across three core areas: Asset, Network, and Process.
Oracle;A digital twin is the digital proxy of a physical asset or device. A digital twin can help you successfully deploy and use an IoT application. A digital twin may also be called a twin or a shadow. Digital twin technology may be referred to as device virtualization and can be implemented in differing ways.
Dassault;Digital twins – known as virtual twins when data is communicated via a scientifically accurate 3D model – are among the most powerful digital transformation innovations for bridging the information gap between real world operations and remote workforces. By creating powerful 3D simulations that can be used to understand and accurately predict the results of various strategies before they are implemented, multiple stakeholders (both internal and external) can collaborate to understand and overcome challenges. 
ABB;A digital twin is a complete and operational virtual representation of an asset, subsystem or system, combining digital aspects of how the equipment is built (PLM data, design models, manufacturing data) with real-time aspects of how it is operated and maintained. The capability to refer to data stored in different places from one common digital twin directory enables simulation, diagnostics, prediction and other advanced use cases.
Bosch;The concept of a digital twin, its definition and thus the expectation vary from one manufacturer to another. At least all publications so far agree upon the task to provide a virtual representation of a physical asset. Adding further information and functionality enriches the digital twin into the more generally assumed holistic view that reflects all capabilities and aspects of a device / product asset. In the context of Industrial IoT a digital twin is also called (asset) Administration Shell. IoT Things is a cloud service implementing such a digital twin / administration shell concept for physical assets. These digital twins can contain the virtual representation of a physical asset as well as other information and functionality to provide a holistic view accessible by API.
Anylogic;A digital twin is a special type of simulation model that represents a specific example of something in the present, such as a machine or a business process. It is achieved by combining current data from the subject with its simulation model. The results enhance business insight and performance in manufacturing, transport, supply chain, healthcare, and more, throughout verticals and across industries.
IBM;A digital twin is a virtual model designed to accurately reflect a physical object. The object being studied — for example, a wind turbine — is outfitted with various sensors related to vital areas of functionality. These sensors produce data about different aspects of the physical object’s performance, such as energy output, temperature, weather conditions and more. This data is then relayed to a processing system and applied to the digital copy. Once informed with such data, the virtual model can be used to run simulations, study performance issues and generate possible improvements, all with the goal of generating valuable insights — which can then be applied back to the original physical object.
Deloitte 2017;A digital twin can be defined, fundamentally, as an evolving digital profile of the historical and current behavior of a physical object or process that helps optimize business performance. 
Accenture1;The core concept of Digital Twin is a digital model of a physical object, system or process that exists (or could exist) in the physical world. Businesses can use Twins to monitor, analyze, and simulate their physical counterparts. At Accenture Labs, we put an emphasis on Twins with sophisticated representation and rich enough data to support both advanced analytics and intelligent reasoning.
Schindler;Our Digital Twin accelerates every stage of the value chain of elevators and escalators – from planning to operation and maintenance – through digital modelling and simulations. Virtual prototyping and analytics are applied in every phase of product development for continuous improvements in quality and safety for passengers and technicians alike. A next stage will include using Digital Twin for data insight, realizing the full potential of AI. 
Rolls Royce;At their core Digital Twins are virtual replicas of physical devices, products or entities created by combining data with machine learning and software analytics to create digital models that update and change alongside their real-life counterparts. For Rolls-Royce this means creating virtual copies of our pioneering aero engines.
Huawei1;"The idea of a digital twin was first proposed by Professor Michael Grieves from the University of Michigan. He described it as ""a virtual presentation of a physical product"" in the product lifecycle management (PLM) concept. As IT becomes more advanced, the meaning of digital twin is also evolving. According to NASA, a digital twin is about using data, such as physical models, real-time status, and running history, to reproduce, map, and synchronize the shapes, attributes, behaviors, and rules from the physical world in a virtual world through simulation. The simulation is based on established experience and knowledge, so as to reflect the whole lifecycle process of the physical world. With a digital twin, we can digitalize entire processes from product design and production planning to manufacturing execution, making product innovation and manufacturing more efficient. Imagine building a complete digital twin for an entire city. By monitoring a whole urban environment in real time with the digital twin model, we could better utilize city resources and enable intelligent traffic scheduling."
Lenze;The digital twin maps physical components and machines and serves as a collection point for all relevant information. The concept is known as Asset Administration Shell (AAS) and as a basic technology is a real support in industrial automation.
The Industry IoT Consortium;A digital twin is a formal digital representation of some asset, process or system that captures attributes and behaviors of that entity suitable for communication, storage, interpretation or processing within a certain context.  The digital twin information includes, but is not limited to, combinations of the following categories: physics-based model and data, analytical models and data, time-series data and historians, transactional data, master data, visual models and computations.
digital twin consortium;A digital twin is a virtual representation of real-world entities and processes, synchronized at a specified frequency and fidelity.-Digital twin systems transform business by accelerating holistic understanding, optimal decision-making, and effective action.-Digital twins use real-time and historical data to represent the past and present and simulate predicted futures.-Digital twins are motivated by outcomes, tailored to use cases, powered by integration, built on data, guided by domain knowledge, and implemented in IT OT systems. The foundational elements of the definition are captured in the first sentence: the virtual representation, the real-world entities and processes it represents, and the mechanism by which the virtual and real-world entities are synchronized.
Deloitte 2020;A digital simulation of physical systems, assets, or processes. Often paired with IoT technology to instrument simulated systems. Twins are supported by data science and machine learning, and supply optimizations and insights for physical world action.
 Amazon (aws);AWS IoT Twin Maker makes it easier for developers to create digital twins of real-world systems such as buildings, factories, industrial equipment, and production lines. AWS IoT Twin Maker provides the tools you need to build digital twins to help you optimize building operations, increase production output, and improve equipment performance. With the ability to use existing data from multiple sources, create virtual representations of any physical environment, and combine existing 3D models with real-world data, you can now harness digital twins to create a holistic view of your operations faster and with less effort.
Facebook;A cyber cyber digital twin is a simulation of a software system. By contrast, a cyber physical digital twin is a simulation of a non software (physical) system. Although cyber physical digital twins have received a lot of recent attention, their cyber cyber counterparts have been comparatively overlooked. In this paper we show how the unique properties of cyber cyber digital twins open up exciting opportunities for research and development. Like all digital twins, the cyber cyber digital twin is both informed by and informs the behaviour of the twin it simulates. It is therefore a software system that simulates another software system, making it conceptually truly a twin, blurring the distinction between the simulated and the simulator. Cyber cyber digital twins can be twins of other cyber cyber digital twins, leading to a hierarchy of twins. As we shall see, these apparently philosophical observations have practical ramifications for the design, implementation and deployment of digital twins at Facebook.
Nvidia;A digital twin is a virtual representation — a true-to-reality simulation of physics and materials — of a real-world physical asset or system, which is continuously updated. Digital twins aren’t just for inanimate objects and people. They can be a virtual representation of computer networking architecture used as a sandbox for cyberattack simulations. They can replicate a fulfillment center process to test out human robot interactions before activating certain robot functions in live environments. The applications are as wide as the imagination.
Cisco;Digital twins: Digital representations of advanced manufacturing systems that enable real-time simulation and analysis of sensor data from production processes.
Tata1;Multiple systems collect data, and many global organizations have started leveraging cloud and IoT to gather and collate that data. An autonomous cyber physical system that can work in tandem with a physical entity taking real-time data and providing real-time decisions can optimize KPIs. Development of this system, the digital twin, requires various data mining and analytics activities in addition to modeling, optimization, and control. Toward this end, we have developed a framework for engineering analytics that performs end to end analysis and provides recommendations to help improve operations. Apart from building digital twins of various plants, we hope to extend this platform to design new materials and for predictive maintenance of equipment.
Intel;A digital twin is a virtual model of a process, product or service. This pairing of the virtual and physical worlds allows analysis of data and monitoring of systems to head off problems before they even occur, prevent downtime, develop new opportunities and even plan for the future.
Huawei2;The biggest challenge that city management teams face in data-driven city operations is deriving value from the increasing volume, velocity, and variety of data — also known as big data. To address this challenge, city operations teams are creating data models that can visualize the complex operations of city functions in real-time. These models are known as “digital twins.” Dr. Michael Grieves, one of the concept’s pioneers, defines digital twins as having three parts: physical products in real space, virtual products in virtual space, and connected data that ties the physical and virtual together. These data models are live digital blueprints of physical assets, processes, and entire ecosystems, such as cities. What differentiates digital twins from traditional visualizations is their dynamism and real-time capabilities. Indeed, global market research firm IDC predicts that by 2023, 25% of successful Smart City digital twin platforms will be used to automate processes for increasingly complex, interconnected ecosystems of assets and products.
Hitachi;The digital twin concept is attracting interest in the manufacturing industry. A digital twin is a replica of the real world created in a digital space by bringing together many different types of on-site data. The replica can be used with AI or simulations to help make on-site improvements. Digital Innovation Platform will play an important role in creating digital twins. The platform collects, refines, and stores vast amounts of data generated from production sites. It organizes and integrates the stored data, and then provides it to AI or other applications. This article provides an overview of a Hitachi factory IoT platform that helps create digital twin solutions for production sites. Two of its components are briefly described. One is Hitachi Data Hub, a solution that sequentially links data from the site while collecting, refining, and storing it. The other is a Hitachi digital twin solution that cross-links stored data while organizing and integrating them.
