Company Name;Industrie;Health;Industrial manufacturer;Software;Consulting;Building;Energy;Automation;Association;Consumer electronics;Aviation;Transportation
GE;Industrial manufacturer,Energy,Software,Consulting;0;1;1;1;0;1;0;0;0;0;0
Oracle;Software,Consulting;0;0;1;1;0;0;0;0;0;0;0
Dassault;Software;0;0;1;0;0;0;0;0;0;0;0
ABB;Industrial manufacturer,Energy,Automation;0;1;0;0;0;1;1;0;0;0;0
SAP;Software;0;0;1;0;0;0;0;0;0;0;0
Bosch;Industrial manufacturer,Automation;0;1;0;0;0;0;1;0;0;0;0
Anylogic;Software;0;0;1;0;0;0;0;0;0;0;0
IBM;Software,Consulting;0;0;1;1;0;0;0;0;0;0;0
Deloitte 2017;Consulting;0;0;0;1;0;0;0;0;0;0;0
Accenture1;Consulting;0;0;0;1;0;0;0;0;0;0;0
Schindler;Industrial manufacturer,Building;0;1;0;0;1;0;0;0;0;0;0
Rolls Royce;Aviation,Industrial manufacturer;0;1;0;0;0;0;0;0;0;1;0
Huawei1;Building,Industrial manufacturer,Consumer electronics;0;1;0;0;1;0;0;0;1;0;0
Lenze;Industrial manufacturer,Automation;0;1;0;0;0;0;1;0;0;0;0
IDTA;Association;0;0;0;0;0;0;0;1;0;0;0
ProSim;Consulting;0;0;0;1;0;0;0;0;0;0;0
The Industry IoT Consortium;Association;0;0;0;0;0;0;0;1;0;0;0
digital twin consortium;Association;0;0;0;0;0;0;0;1;0;0;0
ITficient;Consulting;0;0;0;1;0;0;0;0;0;0;0
Deloitte 2020;Consulting;0;0;0;1;0;0;0;0;0;0;0
Microsoft (Azure);Consulting,Software,Consumer electronics;0;0;1;1;0;0;0;0;1;0;0
Amazon (aws);Software,Consulting;0;0;1;1;0;0;0;0;0;0;0
Facebook;Software;0;0;1;0;0;0;0;0;0;0;0
Nvidia;Software,Industrial manufacturer;0;1;1;0;0;0;0;0;0;0;0
Cisco;Software,Industrial manufacturer;0;1;1;0;0;0;0;0;0;0;0
Tata1;Software,Industrial manufacturer,Consulting;0;1;1;1;0;0;0;0;0;0;0
Intel;Software,Industrial manufacturer;0;1;1;0;0;0;0;0;0;0;0
Huawei2;Industrial manufacturer,Consumer electronics,Building;0;1;0;0;1;0;0;0;1;0;0
Hitachi;Industrial manufacturer,Software,Building,Energy,Transportation;0;1;1;0;1;1;0;0;0;0;1
Landis und Gyr;Energy;0;0;0;0;0;1;0;0;0;0;0
