Company Name;Definition Academic;Uni-directional;Bi-directional;1:1 representation;Sufficient representation;Real-Time;Near-Real-Time;Periodic;H2M;M2M;Only physical;Also non physical;Any distinct entity;Types / Instance distinguished;Counterpart and digital twin are created with a time difference;Performance;Availability;Quality;BoL;MoL;EoL;Automation;Detection;Prevention;Optimization;Prediction;Simulation;Sensors;Internal System;External System
GE;Real-Time,Prediction,Detection,Prevention,Optimization,Any distinct entity;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
Oracle;Only physical;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dassault;Only physical,H2M,Prediction,Simulation;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
ABB;1:1 representation,Performance,Availability,Real-Time,Any distinct entity,Prediction,Detection,BoL,MoL,Internal System,Simulation;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0
SAP;Only physical,Performance,Optimization,BoL;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Bosch;Only physical,1:1 representation,M2M;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anylogic;Any distinct entity,Performance,Sensors,Simulation;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
IBM;Only physical,Sufficient representation,Performance,Bi-directional,Sensors,Simulation;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Deloitte 2017;Also non physical,Performance,MoL,Optimization;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Accenture1;Also non physical,Counterpart and digital twin are created with a time difference​,Sufficient representation,Simulation;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Schindler;MoL,BoL,Quality,Counterpart and digital twin are created with a time difference​,Simulation;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0
Rolls Royce;Any distinct entity,MoL,Types / Instance distinguished​;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Huawei1;Real-Time,Simulation,Any distinct entity,BoL,MoL;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
Lenze;Only physical,Sufficient representation,Automation;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
IDTA;Any distinct entity;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ProSim;Real-Time,Simulation,Optimization,Also non physical;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
The Industry IoT Consortium;Also non physical,Sufficient representation;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
digital twin consortium;Any distinct entity,Real-Time,Simulation,Prediction;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
ITficient;Only physical,Prediction,Performance;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Deloitte 2020;Simulation,Also non physical,Optimization;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Microsoft (Azure);Any distinct entity,BoL,Optimization;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Amazon (aws);Optimization,Performance,Only physical;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Facebook;Also non physical,Simulation;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nvidia;1:1 representation,Simulation,Any distinct entity;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Cisco;Also non physical,Simulation,Sensors,Real-Time;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Tata1;Only physical,Performance,Prediction,Optimization,Real-Time;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Intel;Also non physical,Availability,Prevention,Prediction;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
Huawei2;Real-Time,Any distinct entity,Automation;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Hitachi;Also non physical,Uni-directional,Simulation;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Landis und Gyr;Sensors,Only physical,Detection,Quality;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
